歌詞
"愛情,嘉賓,感謝,特別,邀請,回憶,這是,開心,原來,來見證,時刻,卻始,終不願,婚禮,清醒,傻傻,成全,自己,原地,逃避,所有人,所有,喜帖,可惜,放下"
"一樣,一個,錯開,時間裡,騙過,以為,絕過,幾許,辦法,動情,無法,別人,成為,逛逛,自主,世界,想起,始終,出現,再見,一點,滿天,飛雪,問問,過得"
"我給,原諒,怎麼,永遠讀,讀著,傷害,當作,我睜,開雙,忘記,依賴,離開,空白,依舊,留著,哭過,無法,風箏,陰天擱,還在,我拉著線,給的,溫柔,曝曬,起承諾"
"心底,忘記,時間,一輩子,我會,名字,一次,奢侈,下次,這樣,怎麼,過一輩子,握著,飛向,決定,愛上,靜止,不會,變得,回事,翱翔,想念,好不容易,要不是,世界"
"還是,無所謂,天黑,不到,煙火,不會,回憶,燒成,結尾,摧毀,凋謝,綠葉,放開,只是,一天,天明,花蕾,清醒,刺痛,害怕,我怕,他靜,來過,最後的,承諾"
"怎麼,我們,最愛的,看過,祝福,輕易,結束,藍色,顏色,沒有,愛那,曾經,最燦爛,緊緊,擁抱,愛的,我錯,搞錯,快樂,原來,一樣,頑固,絕口,牽著,未來"
"錯過,愛情,擁抱,告訴,緊緊,那些,好想,大雨,回到,起點,勇氣,曾經,發現,點點,忘記,滿天,時空下,約定,我會,全部都是,滴滴,回首,星星,相遇,鏡子"
"無關,我題,懸筆,一絕,那岸邊,浪千疊,情字,怎落筆,獨缺,何解,一生,怎麼,了解,徒留,牧笛,硃砂,蘭亭,臨帖,行書,如行,下門,心細,腳步,碑易拓,難拓"
"know,Let,go,一個,走過,選擇,沒人,能夠,未來,過得,怎麼,哪裡,baby,感謝,一程,忘掉,知道,自己,說過,花言巧語,年紀,他們,所謂,放棄,發現"
"繼續,還記,說家,隨著,稻香,小時候,螢火蟲,鄉間,謠永遠,快樂,回家吧,奔跑,城堡,這麼,沒有,擁有,逃跑,美好,微微,不要,最初,河流,依靠,唯一,珍惜"
"冒險,紙飛機,終究會,墜落,太殘忍,因為,愛很重,只往,陪你去,雨天,當你,當愛的,剩聽,單純,轉動,執著,不想,每分,碰到,心痛,每秒,加倍,方向,面孔,那些"
"愛你,他們,暗巷,模樣,對峙過,絕望,一場,一樣,光裡,英雄,孤身,卑微,怒吼,黑夜,愛你破爛,卻敢,這襤褸,披風,Hero,不肯,衣裳,缺口,不算,額頭,傷口"
"孤單,也許,黑暗,越過,恐懼,著光,驅散,不再,道光,黎明,這樣,還在,能訴,眼淚,濕潤,低著頭,白晝,嘲諷,著風,擁抱,丟棄,負擔,哪怕,打破,答案"
"遺憾,回頭,穿著,終於,那種,婚紗,接過,那捧花,換成,保護,照顧,不論,貧窮,不論生,你會過,有模,有樣,不會,先退場,我要,我會,為給,愛過,有什麼,談笑"
"一個,擁抱,現在,身邊,時候,逞強,沒有,我給,懦弱,越來,怎麼,依靠,不好,希望,看到,需要,人來,這座,安靜,閱讀,擁有,孤獨,人長,他們,擔心"
"什麼,其實,表演,演出,不見,一個,我們,曾經,那麼,愛我,幹嘛,細節,樣子,配合,那些,簡單點,演員,情節,沒意,觀眾,演視,即興,時候,開始,底線"
"一杯,敬朝陽,喚醒,溫柔,回頭,逆風,飛翔,心頭,有霜,敬故,敬遠方,守著,催著,成長,漫長,靈魂,無處,寒窗,不再,眼底,安放,各色,荒唐,善良,酒杯"
"上天,告訴,你千萬,無數,人靜,照顧,欺負,心裡,最後卻,離開,因為,不願,流淚,偷偷,夜深,身旁,夜晚,漏嘴,好好,難道,怎麼,相愛的,兩個,他們,有個"
"聊天,幾遍,還是,緊牙關,發出,這句,再講,這樣,別來,無恙,遺憾,我們,畫上,句點,為止,合照,再見,親愛的,晚安,多想,天黑,八個,我點,標記,未讀"
"我們,紅線,相遇,時間,那一場,擁抱,妳在,身邊,證據,如果,一眨眼,只想,一萬年,約定,大樹下,紅色,圍巾,裡捧,還是,錯過,牽起,時候,永遠,轉身,劃過"
"怎麼,習慣,沒有,零一個,禮拜,學會,給過,傷害,責怪,悲傷,不想,染上,忍耐,過的,還算,美滿,幾杯,幾段,什麼,立場,濕頭,懲罰,三年,一句,安慰"
"晚安,多情,幾人份,暢談,兩句,綿綿,異思遷,總是,執迷,忽遠,近爛橋,難堪,易地,信手,走散,自找,遐想,情意,褪成,情人,聲色,太慌張,著迷,為何,總留戀"
"我們,難過,牽著,快樂,還是,一個,怎麼,心裡,那麼,這是,還給,曾經,感受,放不下,因果,自由,疲倦不堪,得以,離開,什麼,孤獨,接著下,藉口,我強,忍著痛"
"學會,女孩,一樣,傷害,三而,錯怪,因為,裡的,一而再,展開,壞習,眼神,不想,忍耐,什麼,上山下海,滿足,再累,偽裝,起來,原諒,那麼,分開,掏空,懈怠"
"猶如,一舉,一動,改變,囂張,心臟脈,搏為,跳動,多餘,離開,沒治,我的傷,刀疤,一字一句,大可不必,肆意,玩弄,乾脆,流浪,荒唐,沒想,沒說,放棄,再爭,燒的"
"還是,無所謂,天黑,不到,煙火,不會,回憶,燒成,結尾,摧毀,凋謝,綠葉,放開,只是,一天,天明,花蕾,清醒,刺痛,害怕,我怕,來過,最後的,承諾,我們"
"風雪,眼淚,半生,吹不散,換不回,青絲,盡成,結局,完愛恨,纏綿,顧影,自憐,自嘆,幾遍,散花,無眠,提筆,驚擾,燭火,回憶,看人間,逃不過,離別,數不完,陰晴換"
"因為,愛我別,不愛我,聽見,再給,一點,溫柔,這個,時候,還是,一樣,夜裡,悲傷,一個,而來,拉長,漫無,真的,出口,冷冷的,不要,目的地,迎面,寂寞,如果"
"大魚,海天一色,無聲將,漫過,盡頭,夢境,縫隙裡,游過,輪廓,聽風,起雨落,執子,煙波,已經,遼闊,飛遠,淚水,天空,吹散,倒流,夜幕,凝望,沉睡,海浪,流淌"
"溫柔,能給,整個,填滿,專心,彌補,也許,太過,以為,發生,天真,那麼,紅了,還笑,原諒,原來,我夠,堅強,少給,一點,全力,宇宙,缺口,希望,感情"
